Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift,PLZ,Firmenort,Telefon,Website,Verfügbarkeit
NEW Niederrhein Energie und Wasser GmbH,True,,,,,,,,,0800 6886881,www.new-energie.de,regional
NN,,,,True,,,,,,,,
Nordstadtwerke GmbH,,,True,True,,,Kastanienweg 23,24969,Großenwiehe,,www.nord-stadtwerke.de,
Ökostromer Edingen-Neckarhausen ,,,True,,True,True,,,,,,
Otto Fricke & Co. GmbH,,True,,,,,Kaiserstr. 36,33330,Gütersloh,05241 10054,www.fricke-oil.de,
Polarstern GmbH,True,,True,True,True,True,,,,089 309042911,www.polarstern-energie.de/oekostrom/,bundesweit
ProEngeno GmbH und Co. KG,True,,True,True,True,True,,,,04902 9157000,www.proengeno.de,bundesweit
PROKON Regenerative Energien eG,,True,True,True,True,True,Kirchhoffstraße 3,25524,Itzehoe,04821 6855222,www.prokon.net,
Regionalwerk Bodensee GmbH & Co. KG,True,,,,,,,,,07542 93790,www.rw-bodensee.de,regional
Repower AG,,True,,,,,Via da Clalt 12,CH-7742,Poschiavo, ,,
REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,True,,,,,,,,,0800 6016010,www.rewag.de,regional
RhönEnergie Fulda GmbH,True,,True,,,,,,,0661 12450,www.rhoenstrom.de,bundesweit
Savero,,,,,,True,,,,,,
Simply Green - Marke der ProSiebenSat.1 Digital,,,True,True,,,,,,,,
Stadtwerk am See GmbH & Co. KG,,True,,,,,Kornblumenstraße 7,88046,Friedrichshafen, ,www.stadtwerk-am-see.de,
Stadtwerke Aachen AG,,True,,,,,Lombardenstr. 12-22,52070,Aachen,0241 1810,www.stawag.de,
Stadtwerke Altdorf GmbH,,True,,,,,Hersbrucker Str. 6a,90518,Altdorf b. Nürnberg,09187 9290,www.stadtwerke-altdorf.de,
Stadtwerke Annweiler am Trifels,True,,,,,,,,,06346 30090,www.stadtwerke-annweiler.de,regional
Stadtwerke Bad Dürkheim,True,,,,,,,,,06322 935813,www.sw-duerkheim.de,regional
Stadtwerke Bliestal GmbH,True,,,,,,,,,06381 42070,www.stadtwerke.kusel.de,regional
Stadtwerke Ettlingen GmbH,,True,,,,,Hertzstraße 33,76275,Ettlingen,07243 101619,www.sw-ettlingen.de,
Stadtwerke Eutin GmbH,,True,,,,,Holstenstr. 6,23701,Eutin,04521 705300,www.stadtwerke-eutin.de/,
Stadtwerke Flensburg GmbH,,True,True,True,,,Batteriestr. 48,24939,Flensburg,0461 487 44 55,www.stadtwerke-flensburg.de,
Stadtwerke Frankenthal GmbH,,True,,,,,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.swift-energy.de,
Stadtwerke Geldern GmbH,,True,,,,,Markt 25,47608,Geldern,02831 933343,www.swgeldern.de,
Stadtwerke Heidelberg Energie GmbH,,True,,,,,Kurfürsten-Anlage 42-50,69115,Heidelberg,06221 5130,www.hvv-heidelberg.de,
Stadtwerke Iserlohn GmbH,,True,,,,,Stefanstr. 4-8,58636,Iserlohn,0800 5892242,www.sauerlandstrom-natur.de,
Stadtwerke Karlsruhe GmbH,,True,,,,,Daxlander Str. 72,76185,Karlsruhe,0800 200 300 6,www.stadtwerke-karlsruhe.de,
Stadtwerke Lambrecht (Pfalz) GmbH,True,,,,,,,,,06325 1890,www.sw-lambrecht.de,regional
