,Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift_x,PLZ_x,Firmenort_x,Telefon,Website,Verfügbarkeit,Firmenanschrift_y,PLZ_y,Firmenort_y,Stromauskunft,Verivox
78,NN,,,,True,,,,,,,,,,,,,
79,Nordstadtwerke GmbH,,,True,True,,,Kastanienweg 23,24969,Großenwiehe,,www.nord-stadtwerke.de,,,,,,
80,Ökostromer Edingen-Neckarhausen ,,,True,,True,True,,,,,,,,,,,
81,Otto Fricke & Co. GmbH,,True,,,,,Kaiserstr. 36,33330,Gütersloh,05241 10054,www.fricke-oil.de,,,,,,
82,Polarstern GmbH,True,,True,True,True,True,,,,089 309042911,www.polarstern-energie.de/oekostrom/,bundesweit,,,,,True
83,ProEngeno GmbH und Co. KG,True,,True,True,True,True,,,,04902 9157000,www.proengeno.de,bundesweit,,,,,
84,PROKON Regenerative Energien eG,,True,True,True,True,True,Kirchhoffstraße 3,25524,Itzehoe,04821 6855222,www.prokon.net,,,,,,True
85,Regionalwerk Bodensee GmbH & Co. KG,True,,,,,,,,,07542 93790,www.rw-bodensee.de,regional,Waldesch 29,88069,Tettnang,True,True
86,Repower AG,,True,,,,,Via da Clalt 12,CH-7742,Poschiavo, ,,,,,,,
87,REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,True,,,,,,,,,0800 6016010,www.rewag.de,regional,,,,,True
88,RhönEnergie Fulda GmbH,True,,True,,,,,,,0661 12450,www.rhoenstrom.de,bundesweit,Bahnhofstraße 2,36037,Fulda,True,True
89,Savero,,,,,,True,,,,,,,,,,,
90,Simply Green - Marke der ProSiebenSat.1 Digital,,,True,True,,,,,,,,,,,,,
91,Stadtwerk am See GmbH & Co. KG,,True,,,,,Kornblumenstraße 7,88046,Friedrichshafen, ,www.stadtwerk-am-see.de,,Kornblumenstr. 7/1,88046,Friedrichshafen,True,True
92,Stadtwerke Aachen AG,,True,,,,,Lombardenstr. 12-22,52070,Aachen,0241 1810,www.stawag.de,,,,,,
93,Stadtwerke Altdorf GmbH,,True,,,,,Hersbrucker Str. 6a,90518,Altdorf b. Nürnberg,09187 9290,www.stadtwerke-altdorf.de,,Hersbrucker Straße 6a,90518,Altdorf,True,True
94,Stadtwerke Annweiler am Trifels,True,,,,,,,,,06346 30090,www.stadtwerke-annweiler.de,regional,,,,,
95,Stadtwerke Bad Dürkheim,True,,,,,,,,,06322 935813,www.sw-duerkheim.de,regional,,,,,
96,Stadtwerke Bliestal GmbH,True,,,,,,,,,06381 42070,www.stadtwerke.kusel.de,regional,Bliesgaustraße 13,66440,Blieskastel,True,True
