Firmenname,Grüner Strom,OK Power,Stromauskunft,Verivox,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Telefon,Website,Verfügbarkeit,Firmenanschrift,PLZ,Firmenort
SSW - Stadtwerke St. Wendel GmbH & Co. KG,,,,True,,,,,,,,,,
Städtische Betriebswerke Luckenwalde GmbH,,,True,True,,,,,,,,Kirchhofsweg 6,14943,Luckenwalde
Städtisches Kommunalunternehmen Baiersdorf,,,True,True,,,,,,,,Am Anger 5,91083,Baiersdorf
Städtische Werke AG Kassel,,,True,True,,,,,,,,Königstor 3-13,34117,Kassel
Städtische Werke Borna GmbH,,,,True,,,,,,,,,,
Städtische Werke Magdeburg GmbH & Co. KG,,,True,True,,,,,,,,Am Alten Theater 1,39104,Magdeburg
Städtische Werke Spremberg (Lausitz) GmbH,,,True,True,,,,,,,,Lustgartenstraße 4a,03130,Spremberg
Stadt- und Überlandwerke GmbH Lübben,,,True,True,,,,,,,,Bahnhofstraße 30,15907,Lübben
Stadt- und Überlandwerke GmbH Luckau-Lübbenau,,,True,True,,,,,,,,Am Bahnhof 2,15926,Luckau
Stadtwerk am See GmbH & Co. KG,,True,True,True,,,,, ,www.stadtwerk-am-see.de,,Kornblumenstr. 7/1,88046,Friedrichshafen
Stadtwerke Aalen GmbH,,,True,True,,,,,,,,Im Hasennest 9,73433,Aalen
Stadtwerke Achim AG,,,True,True,,,,,,,,Gaswerkstr.7,28832,Achim
Stadtwerke Ahaus GmbH,,,,True,,,,,,,,,,
Stadtwerke Ahlen GmbH,,,,True,,,,,,,,,,
Stadtwerke Ahrensburg GmbH,,,True,True,,,,,,,,Lohe 1,22926,Ahrensburg
Stadtwerke Altdorf GmbH,,True,True,True,,,,,09187 9290,www.stadtwerke-altdorf.de,,Hersbrucker Straße 6a,90518,Altdorf
Stadtwerke Altensteig,,,True,True,,,,,,,,Jahnstraße 13,72213,Altensteig
Stadtwerke Amberg Versorgungs GmbH,,,,True,,,,,,,,,,
Stadtwerke Andernach Energie GmbH,,,True,True,,,,,,,,Läufstraße 4,56626,Andernach
Stadtwerke Annaberg-Buchholz Energie AG,,,,True,,,,,,,,,,
Stadtwerke Annweiler,,,True,True,,,,,,,,Saarlandstr. 13,76855,Annweiler
Stadtwerke Annweiler am Trifels,True,,,,,,,,06346 30090,www.stadtwerke-annweiler.de,regional,,,
Stadtwerke Ansbach GmbH,,,True,True,,,,,,,,Rügländer Straße 1a,91522,Ansbach
Stadtwerke Arnsberg Vertriebs und Energiedienstleistungs GmbH,,,True,True,,,,,,,,Niedereimerfeld 22,59823,Arnsberg
Stadtwerke Arnstadt GmbH,,,True,True,,,,,,,,Elxlebener Weg 8,99310,Arnstadt
Stadtwerke Aschersleben GmbH,,,True,True,,,,,,,,Postfach 1756,06449,Aschersleben
Stadtwerke Aue - Bad Schlema GmbH,,,,True,,,,,,,,,,
Stadtwerke Augsburg Energie GmbH,,,True,True,,,,,,,,Hoher Weg 1,86152,Augsburg
Stadtwerke Aurich GmbH,,,,True,,,,,,,,,,
Stadtwerke Bad Aibling,,,True,True,,,,,,,,Lindenstr. 30,83043,Bad Aibling
Stadtwerke Bad Belzig GmbH,,,,True,,,,,,,,,,
Stadtwerke Bad Bergzabern GmbH,,,,True,,,,,,,,,,
Stadtwerke Bad Bramstedt GmbH,,,True,True,,,,,,,,Lohstücker Weg 10 - 12,24576,Bad Bramstedt
Stadtwerke Bad Brückenau GmbH,,,True,True,,,,,,,,Sinnaustr. 14,97769,Bad Brückenau
Stadtwerke Bad Dürkheim,True,,,,,,,,06322 935813,www.sw-duerkheim.de,regional,,,
Stadtwerke Bad Dürkheim GmbH,,,True,True,,,,,,,,Salinenstrasse 36,67098,Bad Dürkheim
Stadtwerke Baden-Baden,,,,True,,,,,,,,,,
Stadtwerke Bad Friedrichshall,,,True,True,,,,,,,,Saline 1,74177,Bad Friedrichshall
Stadtwerke Bad Harzburg GmbH,,,,True,,,,,,,,,,
Stadtwerke Bad Herrenalb GmbH,,,True,True,,,,,,,,Bahnhofstr. 12,76332,Bad Herrenalb
Stadtwerke Bad Hersfeld GmbH,,,True,True,,,,,,,,Kleine Industriestrasse 1,36251,Bad Hersfeld
Stadtwerke Bad Kissingen GmbH,,,True,True,,,,,,,,Würzburger Straße 5,97688,Bad Kissingen
Stadtwerke Bad Langensalza GmbH,,,True,True,,,,,,,,Illebener Weg 11a,99947,Bad Langensalza
Stadtwerke Bad Nauheim GmbH,,,True,True,,,,,,,,Hohe Straße 14-18,61231,Bad Nauheim
Stadtwerke Bad Neustadt a.d. Saale,,,True,True,,,,,,,,Goethestr. 17/19,97616,Bad Neustadt
Stadtwerke Bad Pyrmont Energie & Verkehrs GmbH,,,True,True,,,,,,,,Südstrasse 3,31812,Bad Pyrmont
Stadtwerke Bad Reichenhall KU,,,True,True,,,,,,,,Hallgrafenstraße 2,83435,Bad Reichenhall
Stadtwerke Bad Rodach,,,,True,,,,,,,,,,
Stadtwerke Bad Sachsa GmbH,,,True,True,,,,,,,,Feldstraße 10,37441,Bad Sachsa
Stadtwerke Bad Säckingen GmbH,,,True,True,,,,,,,,Schulhausstraße 40,79713,Bad Säckingen
Stadtwerke Bad Salzuflen GmbH,,,True,True,,,,,,,,Uferstr. 36-44,32108,Bad Salzuflen
Stadtwerke Bad Saulgau,,,True,True,,,,,,,,Moosheimer Straße 28,88348,Bad Saulgau
Stadtwerke Bad Sooden-Allendorf,,,True,True,,,,,,,,Werrastrasse 24,37242,Bad Sooden-Allendorf
Stadtwerke Bad Tölz GmbH,,,True,True,,,,,,,,An der Osterleite 2,83646,Bad Tölz
Stadtwerke Bad Vilbel GmbH,,,True,True,,,,,,,,Theodor-Heuss-Str. 53-63,61118,Bad Vilbel-Dortelweil
Stadtwerke Bad Wildbad GmbH & Co. KG,,,True,True,,,,,,,,Ladestr. 5,75323,Bad Wildbad
Stadtwerke Bad Windsheim,,,True,True,,,,,,,,Vorm Rothenburger Tor 2,91438,Bad Windsheim
Stadtwerke Bad Wörishofen,,,True,True,,,,,,,,Stadionring 18,86825,Bad Wörishofen
Stadtwerke Balingen,,,True,True,,,,,,,,Wasserwiesen 37,72336,Balingen
Stadtwerke Balve GmbH Vertriebs- und Servicegesellschaft,,,,True,,,,,,,,,,
Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,,,True,True,,,,,,,,Margaretendamm 28,96052,Bamberg
Stadtwerke Barmstedt Xtra GmbH,,,True,True,,,,,,,,Bahnhofstr. 27,25355,Barmstedt
Stadtwerke Barsinghausen GmbH,,,,True,,,,,,,,,,
Stadtwerke Barth GmbH,,,True,True,,,,,,,,Louis-Fürnberg-Strasse 3,18356,Barth
Stadtwerke Bayreuth Energie und Wasser GmbH,,,True,True,,,,,,,,Birkenstraße 2,95447,Bayreuth
Stadtwerke Bebra GmbH,,,True,True,,,,,,,,Wiesenweg 1,36179,Bebra
Stadtwerke Bernau GmbH,,,True,True,,,,,,,,Breitscheidstraße 45,16321,Bernau bei Berlin
Stadtwerke Bernburg GmbH,,,,True,,,,,,,,,,
Stadtwerke Bexbach GmbH,,,True,True,,,,,,,,Kolpingstraße 83,66450,Bexbach
Stadtwerke Bielefeld GmbH,,,True,True,,,,,,,,Schildescher Str. 16,33611,Bielefeld
Stadtwerke Bietigheim-Bissingen GmbH,,,True,True,,,,,,,,Rötestr. 8,74321,Bietigheim-Bissingen
Stadtwerke Bitterfeld-Wolfen GmbH,,,,True,,,,,,,,,,
Stadtwerke Blankenburg GmbH,,,True,True,,,,,,,,Börnecker Straße 6,38889,Blankenburg
Stadtwerke Bliestal GmbH,True,,True,True,,,,,06381 42070,www.stadtwerke.kusel.de,regional,Bliesgaustraße 13,66440,Blieskastel
Stadtwerke Böblingen GmbH & Co. KG,,,True,True,,,,,,,,Wolfgang-Brumme-Allee 32,71032,Böblingen
Stadtwerke Bochum GmbH,,,True,True,,,,,,,,Ostring 28,44787,Bochum
Stadtwerke Bogen GmbH,,,True,True,,,,,,,,Agendorfer Straße 19,94327,Bogen
Stadtwerke Böhmetal GmbH,,,,True,,,,,,,,,,
Stadtwerke Borken/Westfalen GmbH,,,,True,,,,,,,,,,
Stadtwerke Bramsche GmbH,,,,True,,,,,,,,,,
Stadtwerke Brandenburg an der Havel GmbH & Co. KG,,,True,True,,,,,,,,Packhofstraße 31,14776,Brandenburg an der Havel
Stadtwerke Bredstedt GmbH,,,True,,,,,,,,,Markt 3,25821,Bredstedt
Stadtwerke Bretten GmbH,,,True,True,,,,,,,,Pforzheimer Str. 80-84,75015,Bretten
Stadtwerke Brilon Energie GmbH,,,,True,,,,,,,,,,
Stadtwerke Brühl GmbH,,,True,True,,,,,,,,Engeldorfer Straße 2,50321,Brühl
Stadtwerke Brunsbüttel GmbH,,,True,True,,,,,,,,Eddelaker Straße 123 d,25541,Brunsbüttel
Stadtwerke Buchen GmbH & Co KG,,,True,True,,,,,,,,Am Hohen Markstein 3,74722,Buchen/Odenwald
Stadtwerke Buchholz in der Nordheide GmbH,,,True,True,,,,,,,,Maurerstraße 10,21244,Buchholz i.d.N.
Stadtwerke Bühl GmbH,,,True,True,,,,,,,,Siemensstr. 5,77815,Bühl
Stadtwerke Burgbernheim,,,,True,,,,,,,,,,
Stadtwerke Burgdorf GmbH,,,True,True,,,,,,,,Vor dem Hannoverschen Tor 12,31303,Burgdorf
Stadtwerke Burg GmbH,,,True,True,,,,,,,,Schartauer Straße 58a,39288,Burg
Stadtwerke Buxtehude GmbH,,,True,True,,,,,,,,Ziegelkamp 8,21614,Buxtehude
Stadtwerke Castrop-Rauxel GmbH,,,True,True,,,,,,,,Lönsstrasse 12,44575,Castrop-Rauxel
Stadtwerke Celle GmbH,,,True,True,,,,,,,,Magnusstraße 2,29221,Celle
Stadtwerke Cham GmbH,,,,True,,,,,,,,,,
Stadtwerke Clausthal-Zellerfeld GmbH,,,True,True,,,,,,,,Robert-Koch-Str. 5,38678,Clausthal-Zellerfeld
Stadtwerke Coesfeld GmbH,,,,True,,,,,,,,,,
Stadtwerke Cottbus GmbH,,,True,True,,,,,,,,Karl-Liebknecht-Straße 130,03046,Cottbus
Stadtwerke Crailsheim GmbH,,,True,True,,,,,,,,Fr.-Bergius-Str. 10 - 14,74564,Crailsheim
Stadtwerke Dachau,,,True,True,,,,,,,,Brunngartenstr. 3,85221,Dachau
Stadtwerke Deggendorf GmbH,,,True,True,,,,,,,,Graflinger Straße 36,94469,Deggendorf
Stadtwerke Deidesheim GmbH,,,True,True,,,,,,,,Im Kathrinenbild 5,67146,Deidesheim
Stadtwerke Delitzsch GmbH,,,,True,,,,,,,,,,
Stadtwerke Delmenhorst GmbH,,,,True,,,,,,,,,,
Stadtwerke Detmold GmbH,,,True,True,,,,,,,,Am Gelskamp 10,32758,Detmold
Stadtwerke Dettelbach,,,True,True,,,,,,,,Luitpold-Baumann-Str. 1,97337,Dettelbach
Stadtwerke Diez GmbH,,,,True,,,,,,,,,,
Stadtwerke Dillingen/Saar GmbH,,,,True,,,,,,,,,,
Stadtwerke Dingolfing GmbH,,,,True,,,,,,,,,,
Stadtwerke Dinkelsbühl,,,,True,,,,,,,,,,
Stadtwerke Dinslaken GmbH,,,True,True,,,,,,,,Gerhard-Malina-Strasse 1,46537,Dinslaken
Stadtwerke Ditzingen GmbH & Co. KG,,,True,True,,,,,,,,Bauernstraße 76/1,71254,Ditzingen
Stadtwerke Döbeln GmbH,,,True,True,,,,,,,,Rosa-Luxemburg-Str. 9,04720,Döbeln
Stadtwerke Dorfen GmbH,,,,True,,,,,,,,,,
Stadtwerke Dreieich GmbH,,,,True,,,,,,,,,,
Stadtwerke Duisburg AG,,,True,True,,,,,,,,Bungertstr. 27,47053,Duisburg
Stadtwerke Dülmen GmbH,,,,True,,,,,,,,,,
Stadtwerke Düren GmbH,,,True,True,,,,,,,,Arnoldsweilerstr. 60,52351,Düren
Stadtwerke Düsseldorf AG,,,True,True,,,,,,,,Höherweg 100,40233,Düsseldorf
Stadtwerke Eberbach,,,,True,,,,,,,,,,
Stadtwerke Ebermannstadt Versorgungsbetriebe GmbH,,,True,True,,,,,,,,Forchheimer Straße 29,91320,Ebermannstadt
Stadtwerke Eckernförde GmbH,,,True,True,,,,,,,,Bormbrook 1,24340,Eckernförde
Stadtwerke Eichstätt Versorgungs-GmbH,,,,True,,,,,,,,,,
Stadtwerke Eilenburg GmbH,,,,True,,,,,,,,,,
Stadtwerke Einbeck GmbH,,,True,True,,,,,,,,Grimsehlstraße 17,37574,Einbeck
Stadtwerke Eisenberg Energie GmbH,,,True,True,,,,,,,,Etzdorfer Str. 2,07607,Eisenberg
Stadtwerke Eisenhüttenstadt GmbH,,,,True,,,,,,,,,,
Stadtwerke Elbtal GmbH,,,True,True,,,,,,,,Neubrunnstraße 8,01445,Radebeul
Stadtwerke Elm-Lappwald GmbH,,,True,True,,,,,,,,Marktstraße 18,38154,Königslutter am Elm
Stadtwerke Elzach Versorgungs- und Kurbetriebe,,,True,True,,,,,,,,Hauptstraße 99,79215,Elzach
Stadtwerke Emden GmbH,,,True,True,,,,,,,,Martin-Faber-Str. 11,26725,Emden
Stadtwerke Emmendingen GmbH,,,True,True,,,,,,,,Am Gaswerk 1,79312,Emmendingen
Stadtwerke Emmerich GmbH,,,True,True,,,,,,,,Wassenbergstraße 1,46446,Emmerich
Stadtwerke Emsdetten GmbH,,,True,True,,,,,,,,Moorbrückenstraße 30,48282,Emsdetten
Stadtwerke Energie Jena-Pößneck GmbH,,,True,True,,,,,,,,Rudolstädter Straße 39,07745,Jena
Stadtwerke Engen GmbH,,,True,True,,,,,,,,Eugen-Schädler-Str. 3,78234,Engen
Stadtwerke Eppingen GmbH & Co. KG,,,,True,,,,,,,,,,
Stadtwerke Erkrath GmbH,,,True,True,,,,,,,,Gruitener Straße 27,40699,Erkrath
Stadtwerke Eschwege GmbH,,,True,True,,,,,,,,Niederhoner Straße 36,37269,Eschwege
Stadtwerke Essen AG,,,True,True,,,,,,,,Rüttenscheider Straße 27 - 37,45128,Essen
Stadtwerke Ettlingen GmbH,,True,True,True,,,,,07243 101619,www.sw-ettlingen.de,,Hertzstraße 33,76275,Ettlingen
Stadtwerke Eutin GmbH,,True,True,True,,,,,04521 705300,www.stadtwerke-eutin.de/,,Holstenstraße 6,23701,Eutin
Stadtwerke EVB Huntetal GmbH,,,True,True,,,,,,,,Amelogenstr. 1,49356,Diepholz
Stadtwerke Fellbach GmbH,,,True,True,,,,,,,,Ringstraße 5,70736,Fellbach
Stadtwerke Feuchtwangen,,,True,True,,,,,,,,Ansbacher Straße 29,91555,Feuchtwangen
Stadtwerke Finsterwalde GmbH,,,True,True,,,,,,,,Langer Damm 14,03238,Finsterwalde
Stadtwerke Flensburg GmbH,,True,True,True,True,True,,,0461 487 44 55,www.stadtwerke-flensburg.de,,Batteriestr. 48,24939,Flensburg
Stadtwerke Forchheim GmbH,,,True,True,,,,,,,,Haidfeldstrasse 8,91301,Forchheim
Stadtwerke Forst GmbH,,,,True,,,,,,,,,,
Stadtwerke Frankenthal GmbH,,True,True,True,,,,,06233 6020,www.swift-energy.de,,Wormser Str. 111,67227,Frankenthal
Stadtwerke Frankfurt (Oder) GmbH,,,True,True,,,,,,,,Karl-Marx-Straße 195,15230,Frankfurt (Oder)
Stadtwerke Freudenberg GmbH & Co. KG,,,True,True,,,,,,,,Hauptstraße 152,97896,Freudenberg
Stadtwerke Freudenstadt GmbH & Co. KG,,,True,True,,,,,,,,Reichsstraße 9,72250,Freudenstadt
Stadtwerke Friedrichsthal GmbH & Co. KG,,,,True,,,,,,,,,,
Stadtwerke Fröndenberg GmbH,,,,True,,,,,,,,,,
Stadtwerke Fürstenfeldbruck GmbH,,,True,True,,,,,,,,Bullachstrasse 27,82256,Fürstenfeldbruck
Stadtwerke Furth im Wald GmbH & Co. KG,,,,True,,,,,,,,,,
Stadtwerke Gaggenau,,,,True,,,,,,,,,,
Stadtwerke Garbsen GmbH,,,True,True,,,,,,,,Kochslandweg 20-22,30823,Garbsen
Stadtwerke Geesthacht GmbH,,,True,True,,,,,,,,Elbuferstraße 48-54,21502,Geesthacht
Stadtwerke Geldern GmbH,,True,True,True,,,,,02831 933343,www.swgeldern.de,,Markt 25,47608,Geldern
Stadtwerke Gelnhausen GmbH,,,True,True,,,,,,,,Philipp-Reis-Straße 1 - 3,63571,Gelnhausen
Stadtwerke Gengenbach,,,True,True,,,,,,,,Hauptstraße 17,77723,Gengenbach
Stadtwerke Georgsmarienhütte GmbH,,,True,True,,,,,,,,Malbergerstraße 13,49124,Georgsmarienhütte
Stadtwerke Germersheim GmbH,,,True,True,,,,,,,,Gaswerkstraße 3,76726,Germersheim
Stadtwerke Gescher GmbH,,,True,True,,,,,,,,Inselstr. 5,48712,Gescher
Stadtwerke Gießen AG,,,True,True,,,,,,,,Lahnstraße 31,35398,Gießen
Stadtwerke Gifhorn GmbH,,,True,True,,,,,,,,Torstraße 7,38518,Gifhorn
Stadtwerke Glauchau Dienstleistungsgesellschaft mbH,,,,True,,,,,,,,,,
Stadtwerke Glückstadt GmbH,,,True,True,,,,,,,,Bahnhofstrasse 2,25348,Glückstadt
Stadtwerke GmbH Bad Kreuznach,,,,True,,,,,,,,,,
Stadtwerke Goch GmbH,,,True,True,,,,,,,,Postfach 100553,47574,Goch
Stadtwerke Görlitz AG,,,True,True,,,,,,,,Demianiplatz 23,02826,Görlitz
Stadtwerke Gotha GmbH,,,,True,,,,,,,,,,
Stadtwerke Göttingen AG,,,,True,,,,,,,,,,
Stadtwerke Greven GmbH,,,True,True,,,,,,,,Saerbecker Str. 77-78,48268,Greven
Stadtwerke Grevesmühlen GmbH,,,True,True,,,,,,,,Grüner Weg 26,23936,Grevesmühlen
Stadtwerke Grimma GmbH,,,True,True,,,,,,,,Lange Straße 17,04668,Grimma
Stadtwerke Gronau GmbH,,,True,True,,,,,,,,Laubstiege 19,48599,Gronau
Stadtwerke Großalmerode GmbH & Co. KG - eine Marke der Städtische Werke AG Kassel,,,,True,,,,,,,,,,
Stadtwerke Groß-Gerau Versorgungs GmbH,,,True,True,,,,,,,,Darmstädter Strasse 53,64521,Groß-Gerau
Stadtwerke Grünstadt GmbH,,,True,True,,,,,,,,Max-Planck-Str. 12,67269,Grünstadt
Stadtwerke Gunzenhausen GmbH,,,True,True,,,,,,,,Nürnbergerstr. 19-21,91710,Gunzenhausen
Stadtwerke Güstrow GmbH,,,,True,,,,,,,,,,
Stadtwerke Gütersloh GmbH,,,True,True,,,,,,,,Berliner Str. 260,33330,Gütersloh
Stadtwerke Haan GmbH,,,True,True,,,,,,,,Leichlinger Straße 2,42781,Haan
Stadtwerke Hagenow GmbH,,,True,True,,,,,,,,Bahnhofstraße 87,19230,Hagenow
Stadtwerke Haiger,,,True,True,,,,,,,,Hüttenstraße 18,35708,Haiger
Stadtwerke Haldensleben GmbH,,,,True,,,,,,,,,,
Stadtwerke Haltern am See GmbH,,,,True,,,,,,,,,,
Stadtwerke Hammelburg GmbH,,,True,True,,,,,,,,Rote-Kreuz-Str. 44,97762,Hammelburg
Stadtwerke Hamm GmbH,,,True,True,,,,,,,,Südring 1 - 3,59065,Hamm
Stadtwerke Hanau GmbH,,,,True,,,,,,,,,,
Stadtwerke Harsewinkel GmbH,,,True,True,,,,,,,,Münsterstraße 8,33428,Harsewinkel
Stadtwerke Haslach,,,True,True,,,,,,,,Alte Hausacher Str. 1,77716,Haslach
Stadtwerke Hattingen GmbH,,,True,True,,,,,,,,Weg zum Wasserwerk 23,45525,Hattingen
Stadtwerke Havelberg GmbH,,,,True,,,,,,,,,,
Stadtwerke Hechingen,,,,True,,,,,,,,,,
Stadtwerke Heide GmbH,,,True,True,,,,,,,,Hinrich-Schmidt-Str. 16,25746,Heide
Stadtwerke Heidelberg Energie GmbH,,True,True,True,,,,,06221 5130,www.hvv-heidelberg.de,,Kurfürsten-Anlage 50,69115,Heidelberg
Stadtwerke Heidenheim AG,,,True,True,,,,,,,,Meeboldstraße 1,89522,Heidenheim
Stadtwerke Heilbad Heiligenstadt GmbH,,,,True,,,,,,,,,,
Stadtwerke Heiligenhafen,,,,True,,,,,,,,,,
Stadtwerke Heilsbronn,,,True,True,,,,,,,,Kammereckerplatz 1,91560,Heilsbronn
Stadtwerke Hemau,,,,True,,,,,,,,,,
Stadtwerke Hemer GmbH,,,,True,,,,,,,,,,
Stadtwerke Herborn GmbH,,,True,True,,,,,,,,Walkmühlenweg 12,35745,Herborn
Stadtwerke Herford GmbH,,,True,True,,,,,,,,Werrestr. 103,32049,Herford
Stadtwerke Herne AG,,,True,True,,,,,,,,Grenzweg 18,44623,Herne
Stadtwerke Herrenberg,,,,True,,,,,,,,,,
Stadtwerke Hettstedt GmbH,,,,True,,,,,,,,,,
Stadtwerke Hilden GmbH,,,True,True,,,,,,,,Am Feuerwehrhaus 1,40724,Hilden
Stadtwerke Hockenheim,,,True,True,,,,,,,,Obere Hauptstr. 8,68766,Hockenheim
Stadtwerke Hollfeld,,,,True,,,,,,,,,,
Stadtwerke Holzminden GmbH,,,True,True,,,,,,,,Rehwiese 28,37603,Holzminden
Stadtwerke Homburg GmbH,,,True,True,,,,,,,,Lessingstr. 3,66424,Homburg
Stadtwerke Horb am Neckar,,,,True,,,,,,,,,,
Stadtwerke Hünfeld GmbH,,,True,True,,,,,,,,Lindenstraße 8,36088,Hünfeld
Stadtwerke Husum GmbH,,,True,True,,,,,,,,Am Binnenhafen 1,25813,Husum
Stadtwerke Ilmenau GmbH,,,,True,,,,,,,,,,
Stadtwerke Ingolstadt Energie GmbH,,,,True,,,,,,,,,,
Stadtwerke Iserlohn GmbH,,True,True,True,,,,,0800 5892242,www.sauerlandstrom-natur.de,,Stefanstr. 4-8,58638,Iserlohn
Stadtwerke Itzehoe GmbH,,,True,True,,,,,,,,Gasstraße 18,25524,Itzehoe
Stadtwerke Jülich GmbH,,,True,True,,,,,,,,An der Vogelstange 2a,52428,Jülich
Stadtwerke Kaarst GmbH,,,True,True,,,,,,,,Rathaus Stadt Kaarst,41564,Kaarst
Stadtwerke Kalkar GmbH & Co. KG,,,,True,,,,,,,,,,
Stadtwerke Kaltenkirchen GmbH,,,True,True,,,,,,,,Kamper Weg 38,24568,Kaltenkirchen
Stadtwerke Kamp-Lintfort GmbH,,,True,True,,,,,,,,Wilhelmstraße 1a,47475,Kamp-Lintfort
Stadtwerke Karlsruhe GmbH,,True,True,True,,,,,0800 200 300 6,www.stadtwerke-karlsruhe.de,,Daxlander Straße 72,76185,Karlsruhe
Stadtwerke Kelheim GmbH & Co. KG,,,True,True,,,,,,,,Hallstattstr. 15,93309,Kelheim
Stadtwerke Kempen GmbH,,,,True,,,,,,,,,,
Stadtwerke Kerpen - in Kooperation mit innogy SE,,,,True,,,,,,,,,,
Stadtwerke Kiel AG,,,True,True,,,,,,,,Uhlenkrog 32,24113,Kiel
Stadtwerke Kirn GmbH,,,,True,,,,,,,,,,
Stadtwerke Kleve GmbH,,,True,True,,,,,,,,Flutstraße 36,47533,Kleve
Stadtwerke Klingenberg Kommunalunternehmen (AöR),,,True,True,,,,,,,,Rathausstraße 9,63911,Klingenberg a.Main
Stadtwerke Konstanz GmbH,,,True,True,,,,,,,,Max-Stromeyerstr.21-29,78467,Konstanz
Stadtwerke Kulmbach,,,,True,,,,,,,,,,
Stadtwerke Kusel GmbH,,,True,True,,,,,,,,Lehnstraße 32,66869,Kusel
Stadtwerke Laage GmbH,,,True,True,,,,,,,,Polchower Chaussee 12,18299,Laage
Stadtwerke Lage GmbH,,,,True,,,,,,,,,,
Stadtwerke Lambrecht (Pfalz) GmbH,True,,True,True,,,,,06325 1890,www.sw-lambrecht.de,regional,Hauptstrasse 14,67466,Lambrecht
Stadtwerke Landau a.d. Isar,,,,True,,,,,,,,,,
Stadtwerke Landsberg KU,,,,True,,,,,,,,,,
Stadtwerke Landshut,,,,True,,,,,,,,,,
Stadtwerke Langenfeld GmbH,,True,,True,,,,,02173 979542,www.stw-langenfeld.de,,Langforter Str. 7,40764,Langenfeld
Stadtwerke Langen GmbH,,,True,True,,,,,,,,Weserstr. 14,63225,Langen
Stadtwerke Langenzenn,,,True,True,,,,,,,,Obere Ringstrasse 17,90579,Langenzenn
Stadtwerke Laufenburg,,,True,True,,,,,,,,Hauptstraße 30,79725,Laufenburg
Stadtwerke Lauterbach GmbH,,,True,True,,,,,,,,Hinter dem Spittel 15,36341,Lauterbach
Stadtwerke Lebach GmbH & Co. KG,,,,True,,,,,,,,,,
Stadtwerke Lehrte GmbH,,,,True,,,,,,,,,,
Stadtwerke Leinefelde-Worbis GmbH,,,,True,,,,,,,,,,
Stadtwerke Leine - Solling GmbH,,,,True,,,,,,,,,,
Stadtwerke Leinfelden-Echterdingen,,,,True,,,,,,,,,,
Stadtwerke Leipzig GmbH,,,True,True,,,,,,,,Eutritzscher Str. 17-19,04105,Leipzig
Stadtwerke Lemgo GmbH,,,True,True,,,,,,,,Bruchweg 24,32657,Lemgo
Stadtwerke Lengerich GmbH,,True,True,True,,,,,054 81 80 0540,www.stadtwerke-lengerich.de,,An der Mühlenbreede 4,49525,Lengerich
Stadtwerke Leutershausen,,,,True,,,,,,,,,,
Stadtwerke Lichtenfels,,,,True,,,,,,,,,,
Stadtwerke Lindau (B) GmbH & Co. KG,,,True,True,,,,,,,,Auenstraße 12,88131,Lindau (B)
Stadtwerke Lingen GmbH,,,,True,,,,,,,,,,
Stadtwerke Lippstadt GmbH,,True,True,True,,,,,02941 282912,www.stadtwerke-lippstadt.de,,Bunsenstraße 2,59557,Lippstadt
Stadtwerke Löbau GmbH,,,True,True,,,,,,,,Georgewitzer Strasse 54,02708,Löbau
Stadtwerke Löffingen,True,,True,True,,,,,07654 8020,www.stadtwerke-loeffingen.de,regional,Rathausplatz 1,79843,Löffingen
Stadtwerke Lohmar GmbH & Co. KG,,,True,True,,,,,,,,Hauptstraße 27 -29,53797,Lohmar
Stadtwerke Loitz GmbH,,,,True,,,,,,,,,,
Stadtwerke Lübbecke GmbH,,,True,True,,,,,,,,Gasstraße 1,32312,Lübbecke
Stadtwerke Lübeck GmbH,,,True,True,,,,,,,,Geniner Straße 80,23560,Lübeck
Stadtwerke Lübz GmbH,,,,True,,,,,,,,,,
Stadtwerke Lüdenscheid GmbH,,True,True,True,,,,,0800 157 1000,www.swls.de,,Lennestraße 2,58507,Lüdenscheid
Stadtwerke Ludwigsburg-Kornwestheim GmbH,,True,,True,,,,,07141 9102577,www.swlb.de,,Gänsfußallee 23,71636,Ludwigsburg
Stadtwerke Ludwigsfelde GmbH,,,True,True,,,,,,,,Potsdamer Straße 31,14974,Ludwigsfelde
Stadtwerke Ludwigslust-Grabow GmbH,,,,True,,,,,,,,,,
Stadtwerke Lünen GmbH,,,,True,,,,,,,,,,
Stadtwerke Lutherstadt Eisleben GmbH,,,,True,,,,,,,,,,
Stadtwerke Lutherstadt Wittenberg GmbH,,,True,True,,,,,,,,Lucas-Cranach-Str. 22,06886,Lutherstadt Wittenberg
Stadtwerke Malchow,,,,True,,,,,,,,,,
Stadtwerke Marburg GmbH,,,True,True,,,,,,,,Am Krekel 55,35039,Marburg
Stadtwerke Meerane GmbH,,,True,True,,,,,,,,Obere Bahnstr. 10,08393,Meerane
Stadtwerke Meiningen GmbH,,,True,True,,,,,,,,Utendorfer Straße 122,98617,Meiningen
Stadtwerke Menden GmbH,True,,,True,,,,,02373 169 2313,www.stadtwerke-menden.de,regional,,,
Stadtwerke Mengen,,,True,True,,,,,,,,Mittlere Straße 40,88512,Mengen
Stadtwerke Merseburg GmbH,,,,True,,,,,,,,,,
Stadtwerke Merzig GmbH,,,,True,,,,,,,,,,
Stadtwerke Metzingen,,,True,True,,,,,,,,Stuttgarter Straße 59,72555,Metzingen
