Stromanbieter,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
Emscher Lippe Energie GmbH,Ebertstr.30,45879,Gelsenkirchen,https://www.ele.de,,A,,,,,,,,,x,
EnBW Energie Baden-Württemberg AG,Durlacher Allee 93,76131,Karlsruhe,https://www.enbw.com,,A,,,,,,,,,,
EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR,Unterer Brühl 2,73479,Ellwangen,https://www.enbw.com,,A,,,,,,,,,,
enercity AG,Ihmeplatz 2,30449,Hannover,https://www.enercity.de,,A,,,,,,,,,,
Energie Rhein-Sieg GmbH,Südstraße 27,53757,Sankt Augustin,https://www.energie-rhein-sieg.de/,,B,,Tochter Unternehmen stadtwerke-hall.de,,,x,,,,,
Energie Südbayern GmbH,Ungsteiner Straße 31,81539,München,https://www.esb.de,,A,,,,,,,,,,
Energie und Versorgung Butzbach GmbH,Himmrichsweg 2,35510,Butzbach,https://www.evb-butzbach.de,,A,,,,,,,,,,
Energie und Wasser Potsdam GmbH,Steinstr. 101,14480,Potsdam,https://www.swp-potsdam.de,,A,,,,,,,,,,
Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co KG,Am Wasserwerk 5,23795,Bad Segeberg,https://www.ew-segeberg.de/,,R?,,,?,,,,,KlimaINVEST,,
Energie- und Wasserversorgung Altenburg GmbH,Franz-Mehring-Straße 6,04600,Altenburg,https://www.ewa-altenburg.de,,A,,,,,,,,,,
Energie- und Wasserversorgung Bitz GmbH,Goethestraße 91,72461,Albstadt,https://www.ew-bitz.de,,A,,,,,,,,,,
Energie- und Wasserversorgung Bruchsal GmbH,,76646,Bruchsal,https://www.stadtwerke-bruchsal.de,,A,,,,,,,,,,
Energie- und Wasserversorgung Bünde GmbH,Osnabrücker Str. 205,32257,Bünde,https://www.ewb.aov.de,,A,,,,,,,,,,
Energie- und Wasserversorgung Kirchzarten GmbH,Hauptstrasse 24,79199,Kirchzarten,https://www.ewk-gmbh.de/ewk,,R,,,,,,,,TÜV Nord,,
Energie- und Wasserversorgung Rheine GmbH,Hafenbahn 10,48431,Rheine,https://www.stadtwerke-rheine.de,,A,,,,,,,,,,
Energie- und Wasserwerke Bautzen GmbH,Schäfferstraße 44,02625,Bautzen,https://www.ewbautzen.de,,A,,,,,,,,,,
Energie Vorpommern GmbH,Wiesenweg 6,17449,Trassenheide,https://www.energie-vorpommern.de,,A,,,,,,,,,,
