"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE953847986061";"In Betrieb";"Hausdach 1 2019";"Solare Strahlungsenergie";"86199 Augsburg
Deutschland";"8,4";"8,1";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"04.07.2019";"";"natürliche Person (ABR910650872370)";"EEG925950711656";"swa Netze GmbH (SNB958077102830)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"04.07.2019";"";"";"";"";"";"";"";"13.07.2019";"13.07.2019";"";"B";"Ungeprüft"
"SEE984429616151";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"65366 Geisenheim
Deutschland";"6,93";"6,93";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"07.06.2019";"";"natürliche Person (ABR909048354260)";"EEG940982573393";"Syna GmbH (SNB918250928893)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"07.06.2019";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"B";"Ungeprüft"
"SEE996674400751";"In Betrieb";"MwS. 47d";"Solare Strahlungsenergie";"82467 Garmisch-Partenkirchen
Deutschland";"2,64";"2,64";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"06.07.2011";"";"natürliche Person (ABR986769970467)";"EEG990788166312";"Gemeindewerke Garmisch-Partenkirchen, KU (SNB926937565941)";"";"06.07.2011";"";"";"";"";"";"";"";"13.07.2019";"13.07.2019";"";"A";"Abgeschlossen"
"SEE913401780801";"In Betrieb";"PV-Anlage Dach";"Solare Strahlungsenergie";"35102 Lohra
Deutschland";"5,72";"5,72";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.01.2016";"";"natürliche Person (ABR996460704872)";"EEG960268553123";"EnergieNetz Mitte GmbH (SNB971311555230)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"16.01.2016";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE992499728797";"In Betrieb";"PV Hovawart";"Solare Strahlungsenergie";"56729 Ettringen
Deutschland";"9";"7";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"17.07.2009";"";"Ute Wolff Michael Lohr";"EEG978854584789";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"17.07.2009";"";"";"";"";"";"";"";"25.07.2019";"25.07.2019";"";"A";"Ungeprüft"
"SEE903008198598";"In Betrieb";"Sonnen";"Speicher";"97255 Sonderhofen
Deutschland";"9";"3,3";"";"24.07.2019";"";"natürliche Person (ABR941408346621)";"EEG930671573216
SSE943681601374";"MDN Main-Donau Netzgesellschaft mbH (SNB973875583315)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"24.07.2019";"";"";"9";"";"";"";"";"24.07.2019";"24.07.2019";"";"B";"Ungeprüft"
"SEE934774814474";"In Betrieb";"PVSchiewartBatterie";"Speicher";"02929 Rothenburg
Deutschland";"2,5";"2,5";"";"17.04.2019";"";"natürliche Person (ABR945311878651)";"EEG959926655620
SSE938633957401";"ENSO Netz GmbH (SNB968914838013)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"17.04.2019";"";"";"3,6";"";"";"";"";"29.07.2019";"29.07.2019";"";"B";"Ungeprüft"
"SEE981743153492";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"06542 Allstedt
Deutschland";"3,3";"3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"17.07.2019";"";"natürliche Person (ABR967001776290)";"EEG904715289081";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"17.07.2019";"";"";"";"";"";"";"";"07.08.2019";"07.08.2019";"";"B";"Ungeprüft"
"SEE910575930919";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"14542 Werder
Deutschland";"9,15";"9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.06.2019";"";"natürliche Person (ABR988858327985)";"EEG943084077073";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.06.2019";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"B";"Ungeprüft"
"SEE981178234056";"Vorübergehend stillgelegt";"1,6 KW";"Solare Strahlungsenergie";"19063 Schwerin
Deutschland";"1,5";"1,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"20.10.2018";"";"natürliche Person (ABR962031514683)";"EEG918530189181";"Netzgesellschaft Schwerin mbH (NGS) (SNB913130054136)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"20.10.2018";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE912779501223";"In Betrieb";"PV-Halle";"Solare Strahlungsenergie";"49429 Visbek
Döller Damm 33
Deutschland";"99,84";"90";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"03.05.2011";"";"natürliche Person (ABR929093041465)";"EEG901341484675";"EWE NETZ GmbH (SNB951051725711)";"Umspannebene Hochspannung/Mittelspannung";"03.05.2011";"";"";"";"";"";"";"";"25.07.2019";"25.07.2019";"";"A";"Ungeprüft"
"SEE919670146706";"In Betrieb";"Freiland PV 2019 Richtbergstr. 113,46 KWp";"Solare Strahlungsenergie";"97493 Bergrheinfeld
Richtbergstraße 11
Deutschland";"113,46";"100";"Freifläche";"30.04.2019";"";"Ralf Braun Lagerhaus GmbH";"EEG953533800978";"Unterfränkische Überlandzentrale eG (SNB929185184919)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.04.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE918802791876";"In Betrieb";"Fassade PV 2019 Richtbergstr. 171,12 KWp";"Solare Strahlungsenergie";"97493 Bergrheinfeld
Richtbergstraße 11
Deutschland";"171,12";"150";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.03.2019";"";"Ralf Braun Lagerhaus GmbH";"EEG911140232346";"Unterfränkische Überlandzentrale eG (SNB929185184919)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.03.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE936360636347";"In Betrieb";"MeinSpeicherGutsberg";"Speicher";"07957 Langenwetzendorf
Deutschland";"7,2";"7,2";"";"11.07.2019";"";"natürliche Person (ABR921899002992)";"EEG982827181615
SSE952565205928";"TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"11.07.2019";"";"";"7,2";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE948998076242";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"73033 Göppingen
Deutschland";"12";"10";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"31.07.2019";"";"natürliche Person (ABR951393511157)";"EEG935740109327";"Energieversorgung Filstal GmbH & Co. KG (SNB910995561328)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"31.07.2019";"";"";"";"";"";"";"";"02.08.2019";"02.08.2019";"";"B";"Ungeprüft"
"SEE984995934147";"In Betrieb";"Batterie";"Speicher";"48329 Havixbeck
Deutschland";"6,4";"6,4";"";"12.07.2019";"";"natürliche Person (ABR942909965090)";"EEG903225605503
SSE958858316975";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"12.07.2019";"";"";"6,4";"";"";"";"";"12.07.2019";"12.07.2019";"";"B";"Ungeprüft"
"SEE962404308260";"In Betrieb";"BHKW 3";"Biomasse";"29358 Eicklingen
Zum Kiesteich 8
Deutschland";"500";"500";"Biogas (vor Ort verstromt)";"10.07.2019";"Verbrennungsmotor";"Markgraf GmbH & Co.KG";"EEG963403925922
KWK950532064486
SGE949272041543";"Celle-Uelzen Netz GmbH (SNB955238223991)";"";"28.06.2006";"";"951";"";"Staatliches Gewerbeaufsichtsamt Celle";"CE000003376-16-033-01";"16.12.2016";"13.06.2019";"23.07.2019";"23.07.2019";"";"B";"Abgeschlossen"
"SEE903810091681";"In Betrieb";"Hallendach";"Solare Strahlungsenergie";"91801 Markt Berolzheim
Markt Berolzheim 514";"47,6";"36,8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"17.12.2004";"";"natürliche Person (ABR905035749088)";"EEG915834194736";"MDN Main-Donau Netzgesellschaft mbH (SNB973875583315)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"17.12.2004";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE925388147768";"In Betrieb";"PVA Halle 1";"Solare Strahlungsenergie";"08223 Neustadt
Siebenhitzer Straße 8
Deutschland";"92,4";"90";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"18.06.2019";"";"NBG- Neustädter Baustoffhandelsgesellschaft mbH";"EEG918451674452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"18.06.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE982354572962";"In Betrieb";"Speicher";"Speicher";"04838 Laußig
Deutschland";"6,4";"5,5";"";"11.07.2019";"";"natürliche Person (ABR939169739479)";"EEG920037463787
SSE910942358360";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"11.07.2019";"";"";"6,4";"";"";"";"";"12.07.2019";"12.07.2019";"";"B";"Ungeprüft"
"SEE945526691472";"In Betrieb";"Garage";"Solare Strahlungsenergie";"95506 Kastl
Deutschland";"7,68";"7,68";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.05.2019";"";"natürliche Person (ABR970745174109)";"EEG911323159682";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.05.2019";"";"";"";"";"";"";"";"10.07.2019";"24.07.2019";"";"B";"Ungeprüft"
"SEE969403174865";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"49082 Osnabrück
Deutschland";"6,08";"5,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.03.2012";"";"natürliche Person (ABR910616205075)";"EEG902545127313";"SWO Netz GmbH (SNB943662886851)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.03.2012";"";"";"";"";"";"";"";"29.07.2019";"29.07.2019";"";"A";"Ungeprüft"
"SEE925488972987";"In Betrieb";"Anlage Mittnachtstr. 11, 72760 Reutlingen";"Solare Strahlungsenergie";"72760 Reutlingen
Deutschland";"11,15";"11,15";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"20.03.2010";"";"natürliche Person (ABR933803040457)";"EEG918834732861";"FairNetz GmbH (SNB991882909515)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"20.03.2010";"";"";"";"";"";"";"";"26.07.2019";"26.07.2019";"";"A";"Ungeprüft"
"SEE920415119824";"In Betrieb";"PVMUEHLWEG";"Solare Strahlungsenergie";"89143 Blaubeuren
Deutschland";"8,04";"8,04";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"10.07.2019";"";"natürliche Person (ABR916501316697)";"EEG928079246535";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.07.2019";"";"";"";"";"";"";"";"10.07.2019";"23.07.2019";"";"B";"Ungeprüft"
"SEE964734885305";"In Betrieb";"Westerholte 48";"Solare Strahlungsenergie";"49577 Ankum";"9,8";"9,8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.06.2019";"";"natürliche Person (ABR995293661161)";"EEG940666349634";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.06.2019";"";"";"";"";"";"";"";"13.07.2019";"17.07.2019";"";"B";"Ungeprüft"
"SEE992944694936";"In Betrieb";"Sonnenstrahlen";"Solare Strahlungsenergie";"45721 Haltern am See
Deutschland";"5,58";"4,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"31.07.2019";"";"natürliche Person (ABR942376955426)";"EEG921568283134";"Stadtwerke Haltern am See GmbH (SNB921816651920)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"31.07.2019";"";"";"";"";"";"";"";"07.08.2019";"07.08.2019";"";"B";"Ungeprüft"
"SEE984991817895";"In Betrieb";"Dach";"Solare Strahlungsenergie";"46397 Bocholt
Deutschland";"9,92";"9,92";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.07.2019";"";"natürliche Person (ABR994602822033)";"EEG965373136308";"Bocholter Energie- und Wasserversorgung GmbH (SNB918576265276)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.07.2019";"";"";"";"";"";"";"";"31.07.2019";"31.07.2019";"";"B";"Ungeprüft"
"SEE937226638246";"In Betrieb";"Speicher";"Speicher";"46397 Bocholt
Deutschland";"6,5";"6,5";"";"30.07.2019";"";"natürliche Person (ABR994602822033)";"EEG932749921288
SSE956493291626";"Bocholter Energie- und Wasserversorgung GmbH (SNB918576265276)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.07.2019";"";"";"6,5";"";"";"";"";"31.07.2019";"31.07.2019";"";"B";"Ungeprüft"
"SEE912771423882";"In Betrieb";"Senec Speicher";"Speicher";"46395 Bocholt
Deutschland";"5";"5";"";"04.07.2019";"";"natürliche Person (ABR926019685277)";"EEG997683787376
SSE952447514155";"Bocholter Energie- und Wasserversorgung GmbH (SNB918576265276)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"04.07.2019";"";"";"5";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE940903604922";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"82272 Moorenweis
Deutschland";"6,72";"6,72";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.05.2019";"";"natürliche Person (ABR993236779140)";"EEG998678256846";"Stadtwerke Fürstenfeldbruck GmbH (SNB985701689504)";"";"27.05.2019";"";"";"";"";"";"";"";"17.07.2019";"19.07.2019";"";"B";"Abgeschlossen"
"SEE910065950212";"In Betrieb";"Siuda PV";"Solare Strahlungsenergie";"92318 Neumarkt
Deutschland";"7,8";"7,8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"02.07.2019";"";"natürliche Person (ABR966756170315)";"EEG929673262181";"Stadtwerke Neumarkt i. d. OPf. Energie GmbH (SNB989365725226)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.07.2019";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"B";"Ungeprüft"
"SEE943539561379";"In Betrieb";"BHKW Motor 2";"Erdgas";"87770 Oberschönegg
Hauptstraße 19
Deutschland";"1.287";"1.254,5";"Erdgas, Erdölgas";"05.04.2014";"Verbrennungsmotor";"Ehrmann GmbH Oberschönegg im Allgäu";"KWK915218793753
SGE975371859789";"LEW Verteilnetz GmbH (SNB911705062982)";"Mittelspannung";"";"";"2.755";"";"Landratsamt Unterallgäu";"31-1711.0/2";"14.04.2014";"11.07.2019";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE934887061949";"In Betrieb";"Maudes Max";"Solare Strahlungsenergie";"26723 Emden
Deutschland";"7,98";"7,98";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"17.12.2012";"";"natürliche Person (ABR949755119035)";"EEG927375926912";"Stadtwerke Emden GmbH (SNB941183960449)";"";"17.12.2012";"";"";"";"";"";"";"";"12.07.2019";"29.07.2019";"";"A";"Abgeschlossen"
"SEE995036477714";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"57462 Olpe
Deutschland";"9,92";"9,92";"Bauliche Anlagen (Sonstige)";"23.07.2019";"";"natürliche Person (ABR956705845838)";"EEG969619070395";"BIGGE ENERGIE GmbH & Co. KG (SNB990174285078)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"23.07.2019";"";"";"";"";"";"";"";"06.08.2019";"06.08.2019";"";"B";"Ungeprüft"
"SEE920076167219";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"83115 Neubeuern
Deutschland";"5,67";"5,67";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.07.2019";"";"natürliche Person (ABR985515902721)";"EEG971759204486";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.07.2019";"";"";"";"";"";"";"";"21.07.2019";"21.07.2019";"";"B";"Ungeprüft"
"SEE960449709745";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"49413 Dinklage
Deutschland";"9";"8,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.07.2019";"";"natürliche Person (ABR922887206828)";"EEG912824323862";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.07.2019";"";"";"";"";"";"";"";"26.07.2019";"26.07.2019";"";"B";"Ungeprüft"
"SEE923346949799";"In Betrieb";"""Hausdach Nr 66""";"Solare Strahlungsenergie";"25899 Dagebüll
Deutschland";"27,9";"27,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"17.06.2010";"";"natürliche Person (ABR996033220396)";"EEG919608203129";"Schleswig-Holstein Netz AG (SNB919861978666)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"17.06.2010";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"A";"Ungeprüft"
"SEE929337212729";"In Betrieb";"Altarriba";"Solare Strahlungsenergie";"71540 Murrhardt
Deutschland";"6,82";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"14.06.2019";"";"natürliche Person (ABR969841623062)";"EEG916569559364";"Syna GmbH (SNB918250928893)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"14.06.2019";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"B";"Ungeprüft"
"SEE936305315597";"In Betrieb";"ABR989216489680";"Solare Strahlungsenergie";"55129 Mainz
Deutschland";"7,56";"7,56";"Bauliche Anlagen (Sonstige)";"02.07.2019";"";"Klaus Putzhammer";"EEG964185539246";"Mainzer Netze GmbH (SNB959523885956)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.07.2019";"";"";"";"";"";"";"";"31.07.2019";"01.08.2019";"";"B";"Ungeprüft"
"SEE971573440831";"In Betrieb";"ABR998274689710";"Speicher";"17279 Lychen
Deutschland";"5";"5";"";"12.06.2019";"";"natürliche Person (ABR998274689710)";"EEG980621890122
SSE914187744308";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2019";"";"";"5";"";"";"";"";"16.07.2019";"16.07.2019";"";"B";"Ungeprüft"
"SEE955572222018";"In Betrieb";"ABR998274689710";"Solare Strahlungsenergie";"17279 Lychen
Deutschland";"6,5";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"12.06.2019";"";"natürliche Person (ABR998274689710)";"EEG903293538659";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"12.06.2019";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"B";"Ungeprüft"
"SEE935177086925";"In Betrieb";"Solar Dach";"Solare Strahlungsenergie";"12623 Berlin
Deutschland";"6,1";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"02.08.2019";"";"natürliche Person (ABR954645973550)";"EEG977920162333";"Stromnetz Berlin GmbH (SNB979269087643)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.08.2019";"";"";"";"";"";"";"";"02.08.2019";"02.08.2019";"";"B";"Ungeprüft"
"SEE919062257065";"In Betrieb";"DH Maschtrasse";"Solare Strahlungsenergie";"49356 Diepholz
Deutschland";"12,75";"12,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.03.2012";"";"natürliche Person (ABR926801562625)";"EEG998495667313";"Stadtwerke EVB Huntetal GmbH (SNB922030852827)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.03.2012";"";"";"";"";"";"";"";"20.07.2019";"20.07.2019";"";"A";"Ungeprüft"
"SEE982213615861";"In Betrieb";"Rossband";"Solare Strahlungsenergie";"78532 Tuttlingen
Deutschland";"6,5";"4,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.06.2019";"";"natürliche Person (ABR995579961930)";"EEG982539936527";"Stadtwerke Tuttlingen GmbH (SNB922074927642)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.06.2019";"";"";"";"";"";"";"";"24.07.2019";"24.07.2019";"";"B";"Ungeprüft"
"SEE917728550420";"In Betrieb";"Ferienwohnung";"Solare Strahlungsenergie";"31515 Wunstorf
Deutschland";"9,44";"8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.07.2019";"";"natürliche Person (ABR968447977746)";"EEG989943685317";"Westfalen Weser Netz GmbH (SNB929881052512)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.07.2019";"";"";"";"";"";"";"";"27.07.2019";"27.07.2019";"";"B";"Ungeprüft"
"SEE942743535947";"In Betrieb";"Dach";"Solare Strahlungsenergie";"87600 Kaufbeuren
Deutschland";"9,92";"9,92";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.06.2019";"";"natürliche Person (ABR914182176203)";"EEG921298441859";"LEW Verteilnetz GmbH (SNB911705062982)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.06.2019";"";"";"";"";"";"";"";"22.07.2019";"22.07.2019";"";"B";"Ungeprüft"
"SEE956323283944";"In Betrieb";"PV-Garage";"Solare Strahlungsenergie";"32839 Steinheim
Deutschland";"9,45";"9,45";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"31.07.2019";"";"natürliche Person (ABR965209461185)";"EEG993916146002";"Westfalen Weser Netz GmbH (SNB929881052512)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"31.07.2019";"";"";"";"";"";"";"";"31.07.2019";"31.07.2019";"";"B";"Ungeprüft"
"SEE980997536174";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"21755 Hechthausen
Deutschland";"6,3";"6,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.12.2011";"";"LüMa Solar GbR";"EEG902234961204";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"28.12.2011";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"A";"Ungeprüft"
"SEE991260665170";"In Betrieb";"Haussolar";"Solare Strahlungsenergie";"15345 Eggersdorf
Deutschland";"13,2";"12";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"18.07.2019";"";"natürliche Person (ABR945195866614)";"EEG951072604866";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"18.07.2019";"";"";"";"";"";"";"";"05.08.2019";"05.08.2019";"";"B";"Ungeprüft"
"SEE990879728757";"In Betrieb";"Carport";"Solare Strahlungsenergie";"16835 Lindow
Deutschland";"5,49";"5,49";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"03.07.2019";"";"natürliche Person (ABR968221677671)";"EEG925758266884";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"12.07.2019";"";"";"";"";"";"";"";"12.07.2019";"01.08.2019";"";"B";"Ungeprüft"
"SEE908803161013";"In Betrieb";"ABR980778654578";"Solare Strahlungsenergie";"37434 Bodensee
Deutschland";"2,94";"2,94";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.09.2011";"";"natürliche Person (ABR980778654578)";"EEG917475314252";"EnergieNetz Mitte GmbH (SNB971311555230)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.09.2011";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE965800834326";"In Betrieb";"PV-Anlage Shuteba 1 groß";"Solare Strahlungsenergie";"86504 Merching
Deutschland";"33,15";"30";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.09.2008";"";"natürliche Person (ABR936318588131)";"EEG906201045690";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.09.2008";"";"";"";"";"";"";"";"29.07.2019";"29.07.2019";"";"A";"Ungeprüft"
"SEE967610534588";"In Betrieb";"Solari";"Solare Strahlungsenergie";"33330 Gütersloh
Deutschland";"2,9";"2,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"02.07.2019";"";"natürliche Person (ABR949468260857)";"EEG900765411144";"Netzgesellschaft Gütersloh mbH (SNB931546188436)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.07.2019";"";"";"";"";"";"";"";"12.07.2019";"12.07.2019";"";"B";"Ungeprüft"
"SEE940191697217";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"77855 Achern
Deutschland";"9,44";"9,44";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.07.2019";"";"natürliche Person (ABR901573043053)";"EEG966937381615";"Syna GmbH (SNB918250928893)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2019";"";"";"";"";"";"";"";"20.07.2019";"20.07.2019";"";"B";"Ungeprüft"
"SEE904644423761";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"65510 Idstein
Deutschland";"8,06";"8,06";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.07.2019";"";"natürliche Person (ABR978298196548)";"EEG950120254794";"Syna GmbH (SNB918250928893)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2019";"";"";"";"";"";"";"";"06.08.2019";"06.08.2019";"";"B";"Ungeprüft"
"SEE977574193325";"In Betrieb";"biogas";"Biomasse";"89195 Staig
Altheim Greut 
612";"75";"75";"Biogas (vor Ort verstromt)";"22.05.2017";"Brennstoffzelle";"natürliche Person (ABR941471307734)";"EEG983884083133";"Netze BW GmbH (SNB948311994307)";"Mittelspannung";"22.05.2017";"";"";"";"";"";"";"";"12.07.2019";"12.07.2019";"";"A";"Ungeprüft"
"SEE957288986819";"In Betrieb";"Sonne im Herzen";"Speicher";"82131 Gauting
Deutschland";"6";"6";"";"15.07.2019";"";"natürliche Person (ABR997767501126)";"EEG975729629231
SSE932446360502";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"15.07.2019";"";"";"6";"";"";"";"";"29.07.2019";"29.07.2019";"";"B";"Ungeprüft"
"SEE998313165366";"In Betrieb";"Solaranlage Breite Schneise";"Solare Strahlungsenergie";"63674 Altenstadt
Deutschland";"7,7";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.06.2019";"";"natürliche Person (ABR913702879396)";"EEG987446635464";"ovag Netz GmbH (SNB969534177940)";"";"25.06.2019";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"B";"Abgeschlossen"
