"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE917324576640";"In Betrieb";"UK 15 ZPV Rödermark";"Solare Strahlungsenergie";"63322 Rödermark
Deutschland";"7,59";"7,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.09.2010";"";"Zentrale Pfarreivermögensverwaltung in der EKHN";"EEG990083353820";"e-netz Südhessen GmbH & Co. KG (SNB956958990736)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.09.2010";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE903632822166";"In Betrieb";"Vitotwin";"Erdgas";"65232 Taunusstein
Deutschland";"1";"1";"Erdgas, Erdölgas";"25.10.2013";"Stirlingmotor";"natürliche Person (ABR990050135947)";"KWK939535198572";"Stadtwerke Wiesbaden Netz GmbH (SNB950584553167)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"26";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE988531902874";"In Betrieb";"Hallendach";"Solare Strahlungsenergie";"74343 Sachsenheim
Konrad-Zuse-Straße 3
Deutschland";"84,5";"84,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.07.2014";"";"Bernd Götz";"EEG953883393250";"Stadtwerke Bietigheim-Bissingen GmbH (SNB910950265032)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.07.2014";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE917638487496";"In Betrieb";"Stromspeicher";"Speicher";"72186 Empfingen
Deutschland";"2,25";"2,25";"";"08.07.2019";"";"natürliche Person (ABR969950340195)";"EEG935693622881
SSE922697175741";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2019";"";"";"5";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE987257720939";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"94544 Hofkirchen
Deutschland";"11,76";"0,72";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.05.2011";"";"natürliche Person (ABR955196424621)";"EEG952729850094";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.05.2011";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE968642865589";"In Betrieb";"Birkeshöhstr. 35";"Solare Strahlungsenergie";"58540 Meinerzhagen
Deutschland";"9,6";"9,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.10.2005";"";"Meinerzhagener Baugesellschaft mbH";"EEG986149702114";"ENERVIE Vernetzt GmbH (SNB921319639913)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.10.2005";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE901353949988";"In Betrieb";"Speicher";"Speicher";"72359 Dotternhausen
Deutschland";"5,8";"2";"";"31.03.2017";"";"natürliche Person (ABR938748864762)";"EEG936246205162
SSE996509485441";"Überlandwerk Eppler GmbH (SNB972264483465)";"";"31.03.2017";"";"";"5,8";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Abgeschlossen"
"SEE979474650014";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"74834 Elztal
Deutschland";"5,145";"5,145";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.03.2012";"";"natürliche Person (ABR902451880500)";"EEG958073977487";"Stadtwerke Mosbach GmbH (SNB984863778941)";"";"19.03.2012";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Abgeschlossen"
"SEE944201445874";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"58239 Schwerte
Deutschland";"1,2";"1,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.10.2001";"";"natürliche Person (ABR939117245588)";"EEG984890525945";"Stadtwerke Schwerte GmbH (SNB932788203468)";"";"16.10.2001";"";"";"";"";"";"";"";"10.07.2019";"16.07.2019";"";"A";"Abgeschlossen"
"SEE964952867510";"In Betrieb";"C&S";"Solare Strahlungsenergie";"25719 Busenwurth
Wolfenbüttel 6
Deutschland";"92,28";"82";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"31.12.2009";"";"natürliche Person (ABR954047318317)";"EEG975584735696";"Schleswig-Holstein Netz AG (SNB919861978666)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"31.12.2009";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
